,ip.src,pkt_count,pkt_length,tcp_perc,udp_perc,icmp_perc,ratio_comm,type,device_type
0,192.168.1.165,316,120.556962,0.1075949367,0.8924050633,0,0.03481012658,1,1
1,192.168.1.248,62,379,0.6129032258,0.3709677419,0,0.08064516129,2,3
2,192.168.1.163,4,88.5,0,1,0,0.25,5,8
3,192.168.1.239,19,139.2631579,0.5789473684,0.4210526316,0,0.1578947368,4,7
4,192.168.1.129,67,284.3880597,0.447761194,0.5373134328,0,0.07462686567,3,6
5,192.168.1.119,59,357.1864407,0.593220339,0.2711864407,0.1355932203,0.1355932203,5,9
6,192.168.1.118,13,92.30769231,0.3846153846,0.6153846154,0,0.3846153846,3,10
7,192.168.1.165,339,118.1238938,0.1120943953,0.8879056047,0,0.02949852507,1,1
8,192.168.1.248,54,372.4259259,0.5740740741,0.4259259259,0,0.07407407407,2,3
9,192.168.1.129,67,284.3880597,0.447761194,0.5223880597,0,0.07462686567,3,6
10,192.168.1.239,19,139.2631579,0.5789473684,0.4210526316,0,0.1578947368,4,7
11,192.168.1.119,75,314.7866667,0.5066666667,0.3866666667,0.1066666667,0.1066666667,5,9
12,192.168.1.163,4,88.5,0,1,0,0.25,5,8
13,192.168.1.118,7,101.2857143,0.1428571429,0.8571428571,0,0.2857142857,3,10
14,192.168.1.165,339,118.1238938,0.1120943953,0.8879056047,0,0.02949852507,1,1
15,192.168.1.248,54,372.4259259,0.5740740741,0.4259259259,0,0.07407407407,2,3
16,192.168.1.129,67,284.3880597,0.447761194,0.5223880597,0,0.07462686567,3,6
17,192.168.1.239,19,139.2631579,0.5789473684,0.4210526316,0,0.1578947368,4,7
18,192.168.1.119,75,314.7866667,0.5066666667,0.3866666667,0.1066666667,0.1066666667,5,9
19,192.168.1.163,4,88.5,0,1,0,0.25,5,8
20,192.168.1.118,7,101.2857143,0.1428571429,0.8571428571,0,0.2857142857,3,10
21,192.168.1.165,339,118.1238938,0.1120943953,0.8879056047,0,0.02949852507,1,1
22,192.168.1.248,54,372.4259259,0.5740740741,0.4259259259,0,0.07407407407,2,3
23,192.168.1.129,67,284.3880597,0.447761194,0.5223880597,0,0.07462686567,3,6
24,192.168.1.239,19,139.2631579,0.5789473684,0.4210526316,0,0.1578947368,4,7
25,192.168.1.119,75,314.7866667,0.5066666667,0.3866666667,0.1066666667,0.1066666667,5,9
26,192.168.1.163,4,88.5,0,1,0,0.25,5,8
27,192.168.1.118,7,101.2857143,0.1428571429,0.8571428571,0,0.2857142857,3,10
28,192.168.1.165,339,118.1238938,0.1120943953,0.8879056047,0,0.02949852507,1,1
29,192.168.1.248,54,372.4259259,0.5740740741,0.4259259259,0,0.07407407407,2,3
30,192.168.1.129,67,284.3880597,0.447761194,0.5223880597,0,0.07462686567,3,6
31,192.168.1.239,19,139.2631579,0.5789473684,0.4210526316,0,0.1578947368,4,7
32,192.168.1.119,75,314.7866667,0.5066666667,0.3866666667,0.1066666667,0.1066666667,5,9
33,192.168.1.163,4,88.5,0,1,0,0.25,5,8
34,192.168.1.118,7,101.2857143,0.1428571429,0.8571428571,0,0.2857142857,3,10
35,192.168.1.165,339,118.1238938,0.1120943953,0.8879056047,0,0.02949852507,1,1
36,192.168.1.248,54,372.4259259,0.5740740741,0.4259259259,0,0.07407407407,2,3
37,192.168.1.129,67,284.3880597,0.447761194,0.5223880597,0,0.07462686567,3,6
38,192.168.1.239,19,139.2631579,0.5789473684,0.4210526316,0,0.1578947368,4,7
39,192.168.1.119,75,314.7866667,0.5066666667,0.3866666667,0.1066666667,0.1066666667,5,9
40,192.168.1.163,4,88.5,0,1,0,0.25,5,8
41,192.168.1.118,7,101.2857143,0.1428571429,0.8571428571,0,0.2857142857,3,10
42,192.168.1.165,339,118.1238938,0.1120943953,0.8879056047,0,0.02949852507,1,1
43,192.168.1.248,54,372.4259259,0.5740740741,0.4259259259,0,0.07407407407,2,3
44,192.168.1.129,67,284.3880597,0.447761194,0.5223880597,0,0.07462686567,3,6
45,192.168.1.239,19,139.2631579,0.5789473684,0.4210526316,0,0.1578947368,4,7
46,192.168.1.119,75,314.7866667,0.5066666667,0.3866666667,0.1066666667,0.1066666667,5,9
47,192.168.1.163,4,88.5,0,1,0,0.25,5,8
48,192.168.1.118,7,101.2857143,0.1428571429,0.8571428571,0,0.2857142857,3,10
49,192.168.1.165,339,118.1238938,0.1120943953,0.8879056047,0,0.02949852507,1,1
50,192.168.1.248,54,372.4259259,0.5740740741,0.4259259259,0,0.07407407407,2,3
51,192.168.1.129,67,284.3880597,0.447761194,0.5223880597,0,0.07462686567,3,6
52,192.168.1.239,19,139.2631579,0.5789473684,0.4210526316,0,0.1578947368,4,7
53,192.168.1.119,75,314.7866667,0.5066666667,0.3866666667,0.1066666667,0.1066666667,5,9
54,192.168.1.163,4,88.5,0,1,0,0.25,5,8
55,192.168.1.118,7,101.2857143,0.1428571429,0.8571428571,0,0.2857142857,3,10
56,192.168.1.165,339,118.1238938,0.1120943953,0.8879056047,0,0.02949852507,1,1
57,192.168.1.248,54,372.4259259,0.5740740741,0.4259259259,0,0.07407407407,2,3
58,192.168.1.129,67,284.3880597,0.447761194,0.5223880597,0,0.07462686567,3,6
59,192.168.1.239,19,139.2631579,0.5789473684,0.4210526316,0,0.1578947368,4,7
60,192.168.1.119,75,314.7866667,0.5066666667,0.3866666667,0.1066666667,0.1066666667,5,9
61,192.168.1.163,4,88.5,0,1,0,0.25,5,8
62,192.168.1.118,7,101.2857143,0.1428571429,0.8571428571,0,0.2857142857,3,10
63,192.168.1.165,339,118.1238938,0.1120943953,0.8879056047,0,0.02949852507,1,1
64,192.168.1.248,54,372.4259259,0.5740740741,0.4259259259,0,0.07407407407,2,3
65,192.168.1.129,67,284.3880597,0.447761194,0.5223880597,0,0.07462686567,3,6
66,192.168.1.239,19,139.2631579,0.5789473684,0.4210526316,0,0.1578947368,4,7
67,192.168.1.119,75,314.7866667,0.5066666667,0.3866666667,0.1066666667,0.1066666667,5,9
68,192.168.1.163,4,88.5,0,1,0,0.25,5,8
69,192.168.1.118,7,101.2857143,0.1428571429,0.8571428571,0,0.2857142857,3,10
70,192.168.1.165,339,118.1238938,0.1120943953,0.8879056047,0,0.02949852507,1,1
71,192.168.1.248,54,372.4259259,0.5740740741,0.4259259259,0,0.07407407407,2,3
72,192.168.1.129,67,284.3880597,0.447761194,0.5223880597,0,0.07462686567,3,6
73,192.168.1.239,19,139.2631579,0.5789473684,0.4210526316,0,0.1578947368,4,7
74,192.168.1.119,75,314.7866667,0.5066666667,0.3866666667,0.1066666667,0.1066666667,5,9
75,192.168.1.163,4,88.5,0,1,0,0.25,5,8
76,192.168.1.118,7,101.2857143,0.1428571429,0.8571428571,0,0.2857142857,3,10
77,192.168.1.165,339,118.1238938,0.1120943953,0.8879056047,0,0.02949852507,1,1
78,192.168.1.248,54,372.4259259,0.5740740741,0.4259259259,0,0.07407407407,2,3
79,192.168.1.129,67,284.3880597,0.447761194,0.5223880597,0,0.07462686567,3,6
80,192.168.1.239,19,139.2631579,0.5789473684,0.4210526316,0,0.1578947368,4,7
81,192.168.1.119,75,314.7866667,0.5066666667,0.3866666667,0.1066666667,0.1066666667,5,9
82,192.168.1.163,4,88.5,0,1,0,0.25,5,8
83,192.168.1.118,7,101.2857143,0.1428571429,0.8571428571,0,0.2857142857,3,10
84,192.168.1.165,339,118.1238938,0.1120943953,0.8879056047,0,0.02949852507,1,1
85,192.168.1.248,54,372.4259259,0.5740740741,0.4259259259,0,0.07407407407,2,3
86,192.168.1.129,67,284.3880597,0.447761194,0.5223880597,0,0.07462686567,3,6
87,192.168.1.239,19,139.2631579,0.5789473684,0.4210526316,0,0.1578947368,4,7
88,192.168.1.119,75,314.7866667,0.5066666667,0.3866666667,0.1066666667,0.1066666667,5,9
89,192.168.1.163,4,88.5,0,1,0,0.25,5,8
90,192.168.1.118,7,101.2857143,0.1428571429,0.8571428571,0,0.2857142857,3,10
91,192.168.1.165,339,118.1238938,0.1120943953,0.8879056047,0,0.02949852507,1,1
92,192.168.1.248,54,372.4259259,0.5740740741,0.4259259259,0,0.07407407407,2,3
93,192.168.1.129,67,284.3880597,0.447761194,0.5223880597,0,0.07462686567,3,6
94,192.168.1.239,19,139.2631579,0.5789473684,0.4210526316,0,0.1578947368,4,7
95,192.168.1.119,75,314.7866667,0.5066666667,0.3866666667,0.1066666667,0.1066666667,5,9
96,192.168.1.163,4,88.5,0,1,0,0.25,5,8
97,192.168.1.118,7,101.2857143,0.1428571429,0.8571428571,0,0.2857142857,3,10
98,192.168.1.165,339,118.1238938,0.1120943953,0.8879056047,0,0.02949852507,1,1
99,192.168.1.248,54,372.4259259,0.5740740741,0.4259259259,0,0.07407407407,2,3
100,192.168.1.129,67,284.3880597,0.447761194,0.5223880597,0,0.07462686567,3,6
101,192.168.1.239,19,139.2631579,0.5789473684,0.4210526316,0,0.1578947368,4,7
102,192.168.1.119,75,314.7866667,0.5066666667,0.3866666667,0.1066666667,0.1066666667,5,9
103,192.168.1.163,4,88.5,0,1,0,0.25,5,8
104,192.168.1.118,7,101.2857143,0.1428571429,0.8571428571,0,0.2857142857,3,10
105,192.168.1.165,339,118.1238938,0.1120943953,0.8879056047,0,0.02949852507,1,1
106,192.168.1.248,54,372.4259259,0.5740740741,0.4259259259,0,0.07407407407,2,3
107,192.168.1.129,67,284.3880597,0.447761194,0.5223880597,0,0.07462686567,3,6
108,192.168.1.239,19,139.2631579,0.5789473684,0.4210526316,0,0.1578947368,4,7
